    4250.029776      16.259608       0.011623       0.012904
    4250.065427      16.255889       0.009329       0.016524
    4250.101078      16.265771       0.011302       0.006543
    4250.137910      16.263101       0.011647       0.009111
    4250.176151      16.268369       0.011254       0.003736
    4250.211812      16.255184       0.013107       0.016821
    4250.247454      16.254857       0.012166       0.017047
    4250.283075      16.272619       0.010522      -0.000815
    4250.847896      16.246920       0.141549       0.023243
    4250.887477      16.309347       0.042597      -0.039302
    4250.933169      16.516907       0.230458      -0.247000
    4250.968560      16.262335       0.182428       0.007465
    4251.007062      16.170069       0.368221       0.099615
    4251.956545      16.477478       0.303845      -0.210807
    4252.834795      16.225276       0.191202       0.038349
    4252.852276      16.077715       0.092808       0.185846
    4252.880017      16.246619       0.095071       0.016842
    4252.908708      16.221470       0.039958       0.041887
    4252.940679      16.225116       0.107391       0.038123
    4252.977210      16.247652       0.048280       0.015454
    4253.013381      16.380521       0.095646      -0.117549
    4253.050042      16.283813       0.032986      -0.020976
    4253.088094      16.221841       0.023429       0.040856
    4253.124805      16.338376       0.059433      -0.075816
    4254.825029      16.259381       0.032430      -0.003719
    4254.835809      16.245859       0.025983       0.009755
    4254.861830      16.229781       0.025096       0.025718
    4254.889621      16.210350       0.024425       0.045026
    4254.917561      16.274133       0.025099      -0.018882
    4254.945832      16.296620       0.024413      -0.041495
    4254.973553      16.261133       0.028028      -0.006131
    4255.004744      16.205329       0.028081       0.049533
    4255.066456      16.290480       0.047848      -0.035897
    4255.094197      16.211725       0.034432       0.042732
    4255.123198      16.222678       0.020737       0.031648
    4255.153489      16.223969       0.020355       0.030219
    4255.182509      16.306712       0.026646      -0.052657
    4255.210240      16.233891       0.023990       0.020037
    4255.237991      16.277634       0.052533      -0.023834
    4255.265722      16.246715       0.042891       0.006958
    4255.293473      16.203059       0.053726       0.050486
    4259.876391      16.457453       0.353496      -0.231072
    4259.912022      16.208338       0.116274       0.017775
    4259.947673      16.239025       0.017459      -0.013179
    4259.983314      16.214589       0.023778       0.010987
    4260.018944      16.214180       0.017888       0.011126
    4260.054585      16.257825       0.015912      -0.032791
    4260.091496      16.225091       0.012540      -0.000339
    4260.142817      16.254183       0.018589      -0.029825
    4260.197468      16.224843       0.011203      -0.000908
    4260.261630      16.254465       0.023853      -0.031028
    4260.815221      16.217650       0.016823       0.001334
    4260.850622      16.222912       0.009422      -0.004222
    4260.886983      16.220149       0.018508      -0.001762
    4260.922644      16.201980       0.010675       0.016108
    4260.958304      16.227236       0.009242      -0.009447
    4260.993975      16.202016       0.007298       0.015471
    4261.029636      16.221632       0.008786      -0.004446
    4261.065287      16.198319       0.008697       0.018563
    4261.102217      16.214165       0.008947       0.002402
    4261.140348      16.219803       0.010036      -0.003563
    4261.175989      16.239454       0.010843      -0.023521
    4261.211630      16.216352       0.008103      -0.000726
    4261.247470      16.238592       0.011452      -0.023278
    4261.283131      16.231828       0.010630      -0.016824
    4261.806871      16.211258       0.015029      -0.000959
    4261.823502      16.210611       0.011969      -0.000466
    4261.857962      16.205432       0.009645       0.004393
    4261.893603      16.214112       0.009414      -0.004619
    4261.929264      16.217452       0.008830      -0.008293
    4261.964904      16.228566       0.009796      -0.019741
    4262.000525      16.196860       0.008968       0.011628
    4262.036166      16.196957       0.010773       0.011194
    4262.071786      16.199227       0.009627       0.008586
    4262.111307      16.205542       0.010730       0.001893
    4262.146968      16.213289       0.009302      -0.006195
    4262.182598      16.213564       0.008722      -0.006813
    4262.218239      16.203375       0.009653       0.003031
    4262.253870      16.218845       0.009305      -0.012784
    4262.289510      16.205506       0.009029       0.000208
    4262.808250      16.194887       0.018160       0.005615
    4262.830820      16.238182       0.018133      -0.037913
    4262.866441      16.202676       0.010527      -0.002778
    4262.937712      16.213464       0.010561      -0.014310
    4262.973342      16.156687       0.025134       0.042092
    4263.008993      16.231353       0.027807      -0.032950
    4263.044634      16.175810       0.016290       0.022215
    4263.081534      16.162576       0.034760       0.035057
    4263.119865      16.234273       0.018205      -0.037050
    4263.155516      16.226459       0.017114      -0.029619
    4263.214177      16.230539       0.045278      -0.034332
    4263.285448      16.180973       0.012802       0.014460
    4263.806706      16.163615       0.015288       0.025958
    4263.838787      16.181382       0.009910       0.007819
    4263.874447      16.178463       0.010974       0.010322
    4263.910078      16.175684       0.009448       0.012685
    4263.945698      16.168901       0.009507       0.019049
    4263.981339      16.177284       0.009220       0.010246
    4264.016960      16.173764       0.015515       0.013345
    4264.052620      16.180813       0.009318       0.005872
    4264.089541      16.184828       0.009113       0.001416
    4264.127781      16.195229       0.010799      -0.009443
    4264.163432      16.212403       0.024847      -0.027046
    4264.199082      16.180652       0.010559       0.004274
    4265.981207      16.150918       0.014682       0.010050
    4266.016847      16.177144       0.010969      -0.016708
    4266.052498      16.172201       0.013895      -0.012300
    4266.089448      16.165378       0.009116      -0.006032
    4266.127599      16.164153       0.008912      -0.005384
    4266.173519      16.164923       0.009573      -0.006851
    4266.209150      16.158481       0.012521      -0.000952
    4267.962518      16.128835       0.018955      -0.001097
    4268.002439      16.125653       0.008426       0.001332
    4268.038069      16.122029       0.008597       0.004280
    4268.075019      16.128873       0.009240      -0.003267
    4268.113230      16.117879       0.009602       0.006995
    4268.160980      16.109493       0.008643       0.014464
    4268.204960      16.130902       0.009940      -0.007795
    4268.248911      16.135414       0.042045      -0.013162
    4268.293061      16.102916       0.015039       0.018473
    4268.812655      16.107132       0.012799       0.003750
    4268.848306      16.133708       0.010860      -0.023572
    4268.883946      16.128304       0.009224      -0.018916
    4269.001297      16.105880       0.008157       0.001021
